nbrRoom,temperature
503,21.852694530501584
1001,18.06746482986341
402,19.80245810383065
201,21.04141394078114
1001,8.327339780997978
502,15.422481953087866
703,23.139409411602912
601,18.921608565505224
303,7.561157131850264
703,13.441898787975367
601,8.3723099389865
102,9.895562538635982
503,21.299106431550868
501,17.669801350459462
102,27.57075535698225
703,22.57025087196324
902,20.39707003553886
803,8.598743806908285
102,27.287505183592874
603,13.233021726067527
303,20.410259981407545
602,18.316238423077987
502,12.677184874175135
1102,24.802653071194634
601,8.37941828313269
1101,27.00055649513677
501,8.975665593399881
402,27.672750687342376
1001,7.014850485407774
701,22.387605111166266
901,22.08733874709035
403,15.552932434764788
601,13.718776758682285
1003,25.140779050012213
702,14.391576426059869
1101,14.37792802660208
501,24.100562402537786
503,7.318795153057043
1102,8.368525154999087
1001,21.075343191484308
502,22.514818681925668
602,7.306691454077997
1002,17.018229765527888
1003,13.846777145295947
1001,20.043297271305466
1002,27.487749887664233
202,19.624966364049186
402,8.957172903407367
1102,11.300561515160494
1001,8.677143968925746
601,24.6455161859402
901,18.331113965022425
802,19.51893360514947
401,11.264546921655604
701,21.029217715062767
201,15.386513179901964
1002,8.897134293316054
501,9.206408551430636
1101,11.474501900791054
203,9.234511603282067
702,24.92353292870457
1001,8.434038702272334
601,18.067637322538832
602,13.499480355276694
502,17.428690312503225
1101,13.207869262843476
1102,19.499226564485078
1002,14.914088608295966
603,15.098345836557955
803,19.667229432453105
701,11.790719595362885
903,10.07272974653667
1002,11.061829648045011
601,27.76114627803752
1002,16.882345076591882
703,13.175952896941011
702,10.151180550681623
501,17.120059102957672
703,11.715790195848374
1101,14.008234880554529
502,25.35155392332752
1102,12.442756029834518
1003,9.582223018102855
602,8.999213143266484
501,9.42731906211275
801,15.507644094648391
703,18.138195104090247
603,10.11517713949966
601,15.460117806936907
601,19.067282359988944
503,17.740930046635203
301,24.513491628695768
702,27.77394270735487
302,18.415724163525308
1003,11.32078227534275
602,21.760133878104742
202,7.549969473523936
502,26.504162914569825
701,18.852414634702967
503,27.85915856570828
1102,17.551802547751628
901,7.739161272199776
703,21.528199595851245
702,21.901832187885205
603,14.688438687698836
501,16.815980438893153
202,16.820390748179825
703,15.603008570162654
802,11.99979472843925
1102,9.06488011471948
1003,25.912687995801612
501,15.808797194883793
202,24.344353222825198
701,10.27969459443398
1103,15.936580456302854
1101,22.350682946438113
503,25.15758449295608
102,18.18914072938966
103,25.638549451578488
302,15.962479438235569
502,21.250111015902394
702,27.403956436179104
1001,14.77233020973356
1002,17.312227797134227
902,25.31395796543941
703,24.808138122397512
1002,23.78819358678319
1003,11.011574162399981
702,13.674900258210885
802,23.58749930744841
402,14.376562982114107
1003,15.3289733652319
501,25.815975141798592
602,21.09359742718838
401,12.834542883946144
1001,10.107155914860432
1002,25.501344919519692
202,25.436863841305517
603,25.93300631885645
702,14.377901453972678
901,12.452130302153911
702,12.6672363042236
703,7.967161578575557
402,10.904772948913738
501,13.002371616378735
701,10.197831565203408
1003,25.07258100371697
501,9.202827224820373
701,13.287901100132506
302,27.691146244578746
602,8.829430099500128
603,7.219024661688818
1002,12.556703037519885
1103,25.23942645551596
302,9.401446366811989
603,26.32589598515984
1102,13.454224694688499
802,11.957764450383472
1102,18.412906506384413
1102,11.511087701920427
601,9.182452416229424
1103,9.540093752145944
503,27.112943402243232
1003,14.520114444422104
1002,12.070434983651042
1102,22.851425678447317
701,24.142376789956327
602,20.109464692241236
802,11.714888127882562
1103,20.61343709254693
1002,7.0763006443022265
1103,25.045180778273266
502,10.804139054549577
702,23.61836863394301
403,21.336177001409773
601,11.954560102646587
1002,24.50598927109177
1102,16.474024747951788
202,15.88440760354624
601,11.16003792910465
1001,24.629930347932557
1103,22.88387565489723
601,27.022436205402144
1001,16.340415274597646
602,12.397546656392707
1102,8.400121737280136
702,17.85479742038496
802,17.033802625872593
603,27.66528455933165
1001,11.271437143705715
602,26.607436954600487
801,25.169704305509292
801,7.006459182798421
602,14.452287490949724
502,23.027817148873247
503,9.013453701394264
1102,17.74621566693277
102,22.89548694943429
1101,18.285997281276934
603,27.99381444546587
